[2025-10-22T11:08:33.588+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-22T11:08:33.718+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: update_db.core_table manual__2025-10-22T11:08:15.110434+00:00 [queued]>
[2025-10-22T11:08:33.761+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: update_db.core_table manual__2025-10-22T11:08:15.110434+00:00 [queued]>
[2025-10-22T11:08:33.763+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-22T11:08:33.831+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): core_table> on 2025-10-22 11:08:15.110434+00:00
[2025-10-22T11:08:33.857+0000] {standard_task_runner.py:63} INFO - Started process 389 to run task
[2025-10-22T11:08:33.864+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'update_db', 'core_table', 'manual__2025-10-22T11:08:15.110434+00:00', '--job-id', '46', '--raw', '--subdir', 'DAGS_FOLDER/main.py', '--cfg-path', '/tmp/tmpo3j1ev53']
[2025-10-22T11:08:33.872+0000] {standard_task_runner.py:91} INFO - Job 46: Subtask core_table
[2025-10-22T11:08:34.141+0000] {task_command.py:426} INFO - Running <TaskInstance: update_db.core_table manual__2025-10-22T11:08:15.110434+00:00 [running]> on host 2297e7c7f2c6
[2025-10-22T11:08:34.502+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='gidiboateng200@gmail.com' AIRFLOW_CTX_DAG_OWNER='dataengineers' AIRFLOW_CTX_DAG_ID='update_db' AIRFLOW_CTX_TASK_ID='core_table' AIRFLOW_CTX_EXECUTION_DATE='2025-10-22T11:08:15.110434+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-22T11:08:15.110434+00:00'
[2025-10-22T11:08:34.504+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-22T11:08:34.557+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-22T11:08:34.578+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-22T11:08:34.603+0000] {base.py:84} INFO - Using connection ID 'postgres_db_yt_elt' for task execution.
[2025-10-22T11:08:34.729+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: yWEUL3crU_E
[2025-10-22T11:08:34.734+0000] {data_modification.py:37} INFO - Inserted row with Video_ID: JgJrQnDIRgg
